# Rime user dictionary
#@/db_name	luna_pinyin.userdb
#@/db_type	userdb
#@/rime_version	1.4.0
#@/tick	512
#@/user_id	rime
jie wei 	結尾	c=5 d=2.27986 t=512
jin 	金	c=1 d=0.588025 t=512
jin ke la 	金坷垃	c=0 d=0.0501576 t=512
jin kuai 	儘快	c=1 d=0.571209 t=512
jin kuai de 	儘快的	c=0 d=0.0565525 t=512
jin kuai de ji shu kai jiang ji lu 	儘快的技術開獎記錄	c=1 d=0.56836 t=512
jin shi dun 	金士頓	c=0 d=0.0501576 t=512
jin xing 	進行	c=1 d=0.565525 t=512
jing kai qu 	经开区	c=1 d=0.65377 t=512
jiu 	就	c=1 d=0.73377 t=512
ju shuo 	據說	c=1 d=0.222017 t=512
jue de 	覺得	c=0 d=0.0514274 t=512
ka 	卡	c=1 d=0.839457 t=512
ka shang 	卡上	c=0 d=0.0514274 t=512
ka shang jue de 	卡上覺得	c=1 d=0.516851 t=512
kai fa 	開發	c=1 d=0.292293 t=512
kai jiang ji lu 	開獎記錄	c=0 d=0.0565525 t=512
kai sa jiang 	凱撒醬	c=0 d=0.0562705 t=512
kai yuan 	開源	c=1 d=0.600496 t=512
kan 	看	c=4 d=3.40847 t=512
kan ba 	看吧	c=1 d=0.771052 t=512
kan dao 	看到	c=1 d=0.943268 t=512
kan dao lian fa ke 	看到聯發科	c=1 d=0.491644 t=512
kan feng jing 	看風景	c=0 d=0.057695 t=512
kan ji liang kang jun 	看吉粮康郡	c=1 d=0.582748 t=512
kan ni 	看你	c=1 d=0.70822 t=512
kan zhe 	看着	c=1 d=0.66034 t=512
kang jing dian 	抗靜電	c=0 d=0.0559898 t=512
kang yi 	抗議	c=1 d=0.299692 t=512
ke 	克	c=1 d=0.852144 t=512
ke 	可	c=1 d=0.236928 t=512
ke neng 	可能	c=1 d=0.782705 t=512
kong jian 	空間	c=0 d=0.0585669 t=512
kong jian lin jun jie 	空間林俊傑	c=1 d=0.588605 t=512
ku 	庫	c=1 d=0.319819 t=512
kun ming 	昆明	c=1 d=0.691634 t=512
la 	啦	c=0 d=0.0559898 t=512
la dong 	拉動	c=0 d=0.0618783 t=512
la dong fen lei jiao ao de 	拉動分類驕傲的	c=1 d=0.621885 t=512
lao shi 	老師	c=1 d=0.931414 t=512
le 	了	c=2 d=1.39542 t=512
lei 	累	c=1 d=0.744532 t=512
lei shen 	雷神	c=1 d=0.214381 t=512
li 	裏	c=1 d=0.856415 t=512
li jie wei 	理解爲	c=1 d=0.239309 t=512
li kai 	離開	c=0 d=0.0571209 t=512
li kun shuai dai jie 	力困衰怠竭	c=0 d=0.0559898 t=512
li mian 	裏面	c=2 d=0.889401 t=512
li min 	李敏	c=1 d=0.210136 t=512
li ning 	李寧	c=1 d=0.856415 t=512
lian fa ke 	聯發科	c=0 d=0.0489192 t=512
liang zhong 	兩種	c=1 d=0.412714 t=512
lie biao 	列表	c=1 d=0.283654 t=512
lin jun jie 	林俊傑	c=0 d=0.0585669 t=512
liu 	流	c=1 d=0.597501 t=512
lou dian 	露點	c=1 d=0.257947 t=512
lu ka si 	盧卡斯	c=0 d=0.0557106 t=512
luan lun 	亂倫	c=2 d=1.17362 t=512
lun li 	倫理	c=1 d=1 t=512
luo 	洛	c=1 d=0.715338 t=512
luo de si dao 	羅得斯島	c=0 d=0.0980199 t=512
ma ma 	媽媽	c=1 d=0.207008 t=512
mai 	買	c=2 d=1.6483 t=512
mai shou ji 	買手機	c=1 d=0.960789 t=512
mao mi 	貓咪	c=1 d=1 t=494
me 	麼	c=1 d=0.67032 t=512
mei kan guo 	沒看過	c=1 d=0.634448 t=512
mei tian 	每天	c=1 d=0.737123 t=512
mei ting 	沒聽	c=0 d=0.0704688 t=512
mei ting shuo guo 	沒聽說過	c=1 d=0.70822 t=512
mei you 	沒有	c=1 d=0.268474 t=512
mei zu 	魅族	c=1 d=0.680451 t=512
mi 	米	c=2 d=1.29459 t=512
mi ma 	密碼	c=1 d=0.384812 t=512
mian 	麪	c=1 d=0.860708 t=512
min 	敏	c=1 d=0.251579 t=512
mo ren 	默認	c=1 d=0.203926 t=512
mu 	母	c=1 d=1 t=496
mu lu 	目錄	c=3 d=1.50924 t=512
mu zi 	母子	c=8 d=6.18485 t=512
na 	那	c=1 d=0.637628 t=512
na dian 	哪點	c=1 d=0.640824 t=512
na ge 	哪個	c=1 d=0.644036 t=512
nai nai 	奶奶	c=2 d=1.86481 t=512
nei ku 	內褲	c=2 d=0.417133 t=512
ni 	你	c=2 d=2.08208 t=512
ni hai neng 	你還能	c=1 d=0.744532 t=512
ni hai shi 	你還是	c=1 d=0.818731 t=512
ni shi 	你是	c=2 d=0.993302 t=512
ni ye 	你也	c=1 d=0.625002 t=512
nong 	儂	c=1 d=0.843665 t=512
pai gu 	排骨	c=1 d=0.918512 t=512
pai zi 	牌子	c=2 d=1.48038 t=512
pei zhi 	配置	c=5 d=3.29118 t=512
pi 	匹	c=1 d=0.847894 t=512
pi xie 	皮鞋	c=2 d=1.77828 t=512
piao 	朴	c=1 d=0.250324 t=512
pin pai 	品牌	c=1 d=0.895834 t=512
ping 	平	c=1 d=0.535261 t=512
ping mu 	屏幕	c=2 d=1.87203 t=512
po jie 	破解	c=1 d=0.501576 t=512
pu zhe hei 	普者黑	c=1 d=0.216536 t=512
qi jian 	其間	c=1 d=0.733447 t=512
qie wu 	切勿	c=1 d=0.506617 t=512
qing wa 	青蛙	c=1 d=0.19398 t=512
qu 	區	c=1 d=0.647265 t=512
qu 	去	c=1 d=0.774916 t=512
qu bie 	區別	c=1 d=0.202909 t=512
quan xi lie 	全系列	c=2 d=0.601426 t=512
quan xian 	權限	c=3 d=1.12929 t=512
ren 	人	c=1 d=0.231078 t=512
ren zheng 	認證	c=1 d=0.358796 t=512
ru guo 	如果	c=1 d=0.909373 t=512
ruan jian 	軟件	c=5 d=2.01704 t=512
san 	三	c=1 d=0.806541 t=512
san deng fen jiao 	三等分角	c=1 d=0.551563 t=512
san dian ji an fen 	三碘季胺酚	c=1 d=0.548812 t=512
san ding ji lin 	三丁基膦	c=2 d=1.03645 t=512
san xing 	三星	c=3 d=2.148 t=512
sao zi 	嫂子	c=1 d=1 t=484
shan lang dang jian 	山莨菪碱	c=1 d=0.511709 t=512
shang ci 	上次	c=1 d=0.843665 t=512
shang de 	上的	c=0 d=0.0501576 t=512
shang de jin ke la jin shi dun 	上的金坷垃金士頓	c=1 d=0.50409 t=512
shang ye 	商業	c=1 d=0.511709 t=512
shao fu 	少婦	c=1 d=1 t=488
she me 	什麼	c=3 d=1.14842 t=512
she zhi 	設置	c=3 d=1.28073 t=512
shen shen 	嬸嬸	c=1 d=1 t=486
sheng diao lun kuo 	聲調輪廓	c=0 d=0.0600496 t=512
sheng diao lun kuo jiao ao 	聲調輪廓驕傲	c=1 d=0.603506 t=512
shi 	式	c=1 d=0.453845 t=512
shi 	是	c=10 d=3.50946 t=512
shi 	時	c=1 d=0.562705 t=512
shi a 	是啊	c=1 d=0.66034 t=512
shi jian 	時間	c=1 d=0.778801 t=512
